accelerometer_timestamp	accelerometer_x_data	accelerometer_y_data	accelerometer_z_data
1493852642277	-1.3005676	5.0633698	8.495834
1493852642282	-1.0565033	5.176285	8.837875
1493852642304	-0.8953552	5.2644043	8.733994
1493852642324	-0.95480347	5.2310486	8.298737
1493852642342	-0.9921875	5.211136	7.821228
1493852642361	-0.83361816	5.209198	7.7250977
1493852642381	-0.5669861	5.232025	8.473267
1493852642401	-0.66249084	5.17247	8.440002
1493852642420	-0.8447418	5.05986	8.098999
1493852642441	-0.7758026	5.0957336	7.931381
1493852642460	-0.7064667	5.117157	7.5484314
1493852642480	-0.48292542	5.139221	7.656662
1493852642500	-0.13166809	5.141632	8.440353
1493852642519	-0.17970276	5.0725403	8.9776
1493852642540	-0.83721924	4.8376007	8.520096
1493852642559	-1.2773438	4.6459656	7.627777
1493852642579	-1.0137482	4.686203	7.1991425
1493852642599	-0.17156982	4.656769	7.20784
1493852642618	0.39593506	4.4732056	7.7693787
1493852642638	0.76524353	4.39769	8.187012
1493852642658	0.9747925	4.466446	7.511032
1493852642678	1.2428741	4.310089	6.9217834
1493852642698	1.4095001	3.9437866	6.2282104
1493852642717	1.8118439	3.505539	5.997162
1493852642737	2.0715637	3.4324493	7.3029633
1493852642757	2.9764252	3.6874237	8.201065
1493852642777	2.83078	3.7111816	8.180481
1493852642796	2.0070496	3.7667236	8.538818
1493852642816	2.379486	4.0741577	9.912735
1493852642836	2.659958	4.2811737	10.455917
1493852642857	2.3637543	4.493805	10.9543915
1493852642876	2.3115845	4.7212524	11.279846
1493852642915	1.797699	4.5497894	10.545105
1493852642935	1.4553223	4.4480743	9.867203
1493852642955	1.4472046	4.3515015	9.38559
1493852642975	2.542038	4.4246063	11.0759735
1493852642994	1.8677673	4.136902	10.923508
1493852643014	1.352066	3.9019623	10.104965
1493852643034	2.006424	4.1448517	9.760925
1493852643054	2.6624298	4.232834	9.683258
1493852643074	2.6129456	4.0966797	9.476242
1493852643094	2.4489288	4.1897583	9.353394
1493852643113	2.4684906	4.1053467	9.73967
1493852643133	2.7253723	3.9909973	9.1082
1493852643153	2.9350586	3.7887115	8.734573
1493852643173	2.9806213	3.6175385	8.961197
1493852643192	2.759964	3.6489258	9.037994
1493852643212	2.605713	3.7418518	9.025299
1493852643232	3.0257568	3.63591	8.424759
1493852643252	2.9184418	3.738617	8.245438
1493852643272	2.7639313	3.8732758	8.209503
1493852643291	2.6808167	3.9868927	8.021042
1493852643311	2.688919	4.0230255	7.829605
1493852643331	2.6900482	3.9650116	7.8190002
1493852643351	2.6595306	4.010895	7.9814606
1493852643371	2.8684235	4.0582886	8.082138
1493852643390	2.879547	4.108032	8.199356
1493852643410	2.9295502	4.1458282	8.000687
1493852643431	2.9692078	4.1830444	7.8369446
1493852643450	3.054245	4.2111206	8.00322
1493852643469	3.1015778	4.2301483	7.9035187
1493852643489	3.2628326	4.198639	7.5013885
1493852643509	3.6906128	4.316025	7.385895
1493852643529	3.8630066	4.599579	7.9279785
1493852643549	3.6542053	4.613968	8.521927
1493852643568	3.5339355	4.440048	8.509918
1493852643588	3.5582428	4.424286	8.270935
1493852643608	3.387268	4.3762054	7.8228455
1493852643628	3.432602	4.318985	7.343872
1493852643648	3.5753021	4.425766	7.1758575
1493852643667	3.6677704	4.4337006	7.2409515
1493852643687	3.6523743	4.428589	7.6265564
1493852643707	3.546341	4.4150085	7.957184
1493852643727	3.6526184	4.263199	7.898163
1493852643747	3.7870636	4.2039795	7.9427032
1493852643766	3.9068756	4.437546	8.127975
1493852643786	4.1055603	4.716278	8.212189
1493852643806	4.5737915	5.010666	8.477463
1493852643826	4.60997	4.93779	8.174316
1493852643846	4.3172607	4.566101	7.8338165
1493852643865	4.172241	4.2012787	7.857788
1493852643885	3.9740753	3.7820435	7.688843
1493852643905	3.4773407	2.7802582	6.856369
1493852643925	2.9202423	1.6690979	5.9158936
1493852643945	2.3039246	0.7642517	4.7518616
1493852643965	2.1122742	-1.1545258	2.796997
1493852643984	1.5529938	-2.694519	1.6879883
1493852644004	1.3834534	-3.3738708	0.9081116
1493852644024	1.851471	-4.3704987	0.76950073
1493852644044	3.828415	-4.7867126	0.15026855
1493852644083	5.931946	-3.8833313	-1.2723541
1493852644103	8.389282	-3.1815338	3.342636
1493852644123	10.408676	-2.5214996	9.171967
1493852644143	12.923294	-0.95466614	10.512802
1493852644162	17.287964	1.1306305	9.963333
1493852644182	19.461044	2.6885529	7.821884
1493852644202	19.461044	4.190201	7.005707
1493852644222	19.461044	4.818466	7.905258
1493852644242	19.187714	4.185211	8.252502
1493852644261	17.131454	3.5578308	5.0274506
1493852644281	12.589859	3.0283356	-2.787735
1493852644301	4.7311554	-3.932663	3.8946686
1493852644321	6.7499084	-1.1454468	-3.7979584
1493852644341	8.400772	-0.6501465	-9.555038
1493852644360	10.40564	-0.70236206	-3.3760834
1493852644380	9.939377	-1.0187225	2.5667572
1493852644401	7.2125244	-1.5281982	2.8299713
1493852644420	4.457077	-3.152069	2.3306732
1493852644444	4.5115204	-3.0490112	0.52815247
1493852644460	4.6013336	-3.6869812	-0.29379272
1493852644479	5.329605	-4.1151733	1.1392517
1493852644499	6.902176	-4.7279663	1.2564545
1493852644519	8.612442	-6.698471	1.7611084
1493852644539	10.277924	-7.4691925	2.3739014
1493852644558	9.615433	-6.3484344	1.4199066
1493852644578	8.606125	-8.0829315	6.195755
1493852644598	8.199371	-9.167587	12.646744
1493852644618	6.836685	-6.339157	5.825058
1493852644637	5.6380157	-4.2091827	1.1289825
1493852644657	5.4356384	-5.465042	1.3327789
1493852644677	5.188568	-11.452225	3.7400513
1493852644697	5.410507	-14.860352	1.8412018
1493852644717	7.1351166	-12.8354645	-0.3115387
1493852644736	10.018112	-7.65271	-1.5799713
1493852644756	4.9318237	-6.664917	2.161255
1493852644776	-1.2840881	-9.009003	2.947525
1493852644796	-0.8720093	-11.777069	1.1465759
1493852644816	0.31248474	-12.082947	2.118576
1493852644836	4.206787	-8.905518	1.7420807
1493852644855	5.2073364	-6.939865	1.5500183
1493852644875	2.6995544	-6.348358	1.3121643
1493852644895	1.8573151	-5.242859	2.0426025
1493852644915	1.236206	-4.4655	1.4349213
1493852644935	-0.5893097	-6.1111755	1.7432404
1493852644954	-0.9904175	-11.733643	0.5480499
1493852644974	3.1846008	-14.166702	0.8316345
1493852644994	1.1656494	-17.132172	5.2280426
1493852645014	2.4658508	-15.097092	1.8060608
1493852645034	2.890396	-13.127884	0.84983826
1493852645053	7.815094	3.009491	0.55966187
1493852645073	1.4451447	-6.7034607	-0.047195435
1493852645093	-1.873703	-13.363739	1.055191
1493852645113	0.73561096	-9.0629425	1.1405792
1493852645132	2.286209	-10.731827	1.5051575
1493852645152	1.2688446	-9.953873	0.5854187
1493852645172	0.45812988	-12.572998	0.801239
1493852645192	1.8694763	-12.805389	0.85469055
1493852645231	2.3122864	-12.178467	1.137619
1493852645251	2.6802216	-10.502975	1.5879974
1493852645271	1.0863953	-12.619812	1.0957489
1493852645291	1.7889862	-10.345673	1.046402
1493852645311	1.6654968	-9.335571	1.2754974
1493852645330	2.2570343	-9.085236	1.5198059
1493852645350	1.4689636	-10.380508	1.9967194
1493852645370	1.1062775	-9.972458	2.0975952
1493852645390	1.1667023	-9.689362	2.052948
1493852645411	1.1808624	-9.875778	2.0414276
1493852645430	0.74684143	-10.36731	1.6089325
1493852645449	0.3030243	-10.503693	1.0505981
1493852645470	0.5780792	-10.235764	1.3187866
1493852645490	0.45942688	-10.603683	1.2191467
1493852645509	0.4534912	-10.087585	1.3892975
1493852645529	0.15664673	-9.448837	0.9639435
1493852645549	1.102356	-9.376846	0.5306244
1493852645569	1.5865631	-9.814835	0.07154846
1493852645588	2.172699	-10.518143	-0.09492493
1493852645608	3.0189514	-12.268066	-0.6861267
1493852645628	3.2822723	-13.855881	-1.2329559
1493852645648	3.039215	-13.099182	-2.080536
1493852645668	2.994522	-11.858444	-2.8332825
1493852645687	2.782013	-10.354813	-2.2841187
1493852645707	2.3436432	-9.488998	-1.467392
1493852645727	1.6612396	-9.474899	-0.009475708
1493852645747	1.0519257	-10.432236	0.8471832
1493852645767	1.9862671	-11.408218	1.0999756
1493852645786	3.0318298	-10.852341	1.2872314
1493852645805	3.6627502	-9.725998	0.9750824
1493852645826	4.5345154	-9.4587555	1.7281494
1493852645846	4.6912384	-9.929871	2.6086273
1493852645866	3.4458466	-10.422104	1.9428864
