accelerometer_timestamp	accelerometer_x_data	accelerometer_y_data	accelerometer_z_data
1493777203537	-3.0345612	3.7083435	7.2352753
1493777203557	-2.35643	4.1152954	7.531784
1493777203578	-1.944458	4.7050476	7.399475
1493777203597	-1.7687988	5.2247314	7.2110443
1493777203617	-1.677063	5.5083923	8.033646
1493777203636	-1.6590424	5.4461975	9.485992
1493777203656	-1.6913605	5.2148438	10.604294
1493777203675	-1.5622711	4.964279	10.185532
1493777203695	-1.0001068	5.1428833	8.07576
1493777203715	-0.8145752	5.6160736	7.382126
1493777203735	-0.7774048	5.4679413	9.09404
1493777203755	-1.0491943	4.7823486	10.897003
1493777203774	-1.3777466	4.1708374	11.243317
1493777203794	-1.4546814	3.8899078	10.577927
1493777203814	-1.351471	3.9465027	9.804184
1493777203834	-1.4395905	4.06987	9.545898
1493777203854	-1.9447174	3.8221283	9.018982
1493777203873	-2.448227	3.2541962	8.699371
1493777203893	-1.914505	3.2799225	9.75473
1493777203913	-0.61628723	4.189743	9.047867
1493777203932	-0.32299805	5.279602	6.516571
1493777203952	-0.76675415	4.7441254	5.628235
1493777203972	-4.515213	3.322754	6.6693573
1493777203992	-0.8497467	3.472824	7.227661
1493777204012	2.5288544	3.441803	11.062607
1493777204031	1.7381897	3.9512787	7.7798767
1493777204051	4.7830048	2.9128265	4.8845673
1493777204071	1.8515472	2.831726	7.737198
1493777204111	-0.95306396	2.3583374	8.895416
1493777204130	0.0473938	2.8457642	7.5092316
1493777204150	1.9570618	4.1986694	8.557251
1493777204170	1.3659668	4.2612762	8.543121
1493777204190	0.9858093	5.408951	10.027771
1493777204209	-0.94418335	4.9356384	8.602234
1493777204229	-5.050598	3.3908386	9.566727
1493777204249	-1.3755035	3.1317444	9.759659
1493777204269	0.5710449	5.097763	10.551147
1493777204289	0.29148865	4.559128	10.975403
1493777204308	-0.62272644	4.3297577	10.051132
1493777204328	-1.3131104	4.035919	8.707794
1493777204348	-1.6986389	3.8500519	9.030243
1493777204368	-1.5083313	4.331314	9.266037
1493777204388	-1.2755737	4.786728	8.402695
