accelerometer_timestamp	accelerometer_x_data	accelerometer_y_data	accelerometer_z_data
1493782564099	-0.69621277	6.813843	6.8685455
1493782564118	-0.55989075	6.794937	7.141693
1493782564138	-0.6722717	6.702957	6.822891
1493782564160	-0.5682678	6.7754974	6.8546906
1493782564178	-0.4507904	6.8158417	6.8734283
1493782564197	-0.5681305	6.692322	6.761017
1493782564217	-0.7388153	6.6031036	6.8793335
1493782564236	-0.66334534	6.63855	7.0483856
1493782564256	-0.7014313	6.615097	6.9987946
1493782564276	-0.83654785	6.616852	7.0355988
1493782564296	-0.6939392	6.685089	7.123642
1493782564316	-0.5441742	6.7176056	7.047943
1493782564335	-0.65582275	6.6711884	7.007843
1493782564356	-0.62390137	6.706665	6.9631195
1493782564375	-0.3746643	6.807266	7.156021
1493782564395	-0.4610901	6.737961	7.288666
1493782564414	-0.61528015	6.67572	7.1363373
1493782564434	-0.4192505	6.76947	6.9372864
1493782564454	-0.42959595	6.7697296	6.8144226
1493782564474	-0.5151367	6.7362823	6.6236115
1493782564494	-0.4615326	6.7164764	6.543564
1493782564513	-0.43026733	6.628937	6.9291077
1493782564533	-0.22529602	6.5675964	7.312973
1493782564553	0.15608215	6.611679	7.0589905
1493782564573	-0.1924591	6.5101624	6.675934
1493782564592	-0.5280762	6.3478394	6.4201202
1493782564612	-0.5043335	6.322235	6.415573
1493782564632	-0.033813477	6.335449	6.5037537
1493782564652	0.1640625	6.388077	6.6696014
1493782564672	0.21850586	6.275528	6.6151276
1493782564691	0.17745972	6.0743866	6.2620087
1493782564711	0.39335632	5.995346	6.0800476
1493782564731	0.66181946	6.0153656	6.2506256
1493782564751	0.82133484	5.877121	6.148636
1493782564771	0.99531555	5.8486786	6.1700745
1493782564790	0.9397583	5.8453217	6.925812
1493782564810	0.7435913	5.867981	7.9789124
1493782564830	0.63542175	5.8666534	8.944321
1493782564850	0.1361084	5.696274	8.787842
1493782564890	0.20565796	5.7082367	8.316025
1493782564909	0.500412	5.800659	8.551712
1493782564929	0.6436615	5.8773346	8.417358
1493782564948	0.10110474	5.5218506	8.301804
1493782564968	1.164444	5.974716	8.093445
1493782564988	1.4108734	5.807022	8.156052
1493782565008	0.74879456	5.3099213	7.580368
1493782565027	0.35014343	4.8402405	7.1091614
1493782565047	0.60824585	4.6890106	6.812729
1493782565067	1.0704803	4.3356934	6.4124146
1493782565087	1.3081207	4.202652	6.560684
1493782565107	1.4679718	4.078415	6.4969635
1493782565127	1.0141602	3.322647	6.1899414
1493782565146	0.46806335	2.090744	5.362549
1493782565166	0.4590454	1.1855469	4.2951202
1493782565186	2.413559	1.5690918	4.962738
1493782565206	3.2640839	1.1004486	4.2807617
1493782565225	2.8174744	0.43008423	3.3523407
1493782565245	3.5557098	-0.9755707	3.965866
1493782565265	3.6583405	-2.6350708	4.9798126
1493782565285	3.6234589	-3.4690552	5.293915
1493782565304	5.289337	-3.79393	5.2064514
1493782565324	7.8775177	-3.756607	4.925537
1493782565344	8.224228	-3.7624054	5.0695496
1493782565364	8.944366	-3.7031555	6.998413
