accelerometer_timestamp	accelerometer_x_data	accelerometer_y_data	accelerometer_z_data
1493856318910	-0.27355957	5.651474	6.704178
1493856318910	0.379776	5.857712	7.722931
1493856318930	0.14953613	5.514267	7.637253
1493856318950	-0.53204346	5.008026	7.221405
1493856318970	-0.62745667	4.4638824	6.88266
1493856318991	-1.1251678	3.5879364	6.2702484
1493856319009	1.0053864	3.9082642	4.8994293
1493856319029	2.3690643	4.1039734	5.6995087
1493856319049	2.1947174	3.1042786	6.6125946
1493856319069	1.4822388	2.7397919	6.066498
1493856319089	1.300003	1.9091797	5.100647
1493856319109	1.351593	1.2364349	3.8370209
1493856319149	0.83158875	-0.022125244	0.89912415
1493856319168	1.4213257	-1.143753	2.2605438
1493856319188	2.3739624	-2.03714	4.4728394
1493856319208	2.085205	-2.9865875	4.6358643
1493856319228	2.9700623	-3.6225586	4.653717
1493856319248	4.877594	-4.174301	4.926941
1493856319267	7.1551666	-4.2706604	6.886093
1493856319287	10.718445	-3.785614	9.675186
1493856319307	14.05661	-3.0883331	13.039749
1493856319327	17.638397	-1.9833221	14.700745
1493856319347	19.461044	-0.35049438	12.494858
1493856319368	19.461044	0.174469	10.025879
1493856319387	19.461044	0.89852905	7.7597504
1493856319407	19.05072	1.276474	6.0079346
1493856319427	16.650223	0.12963867	3.430359
1493856319446	13.297028	0.0284729	-0.7889099
1493856319466	11.094513	0.07449341	-3.6545258
1493856319486	10.4109955	1.6791992	-9.604797
1493856319507	7.8187103	-0.27920532	-2.0141602
1493856319526	5.652252	-0.9205017	2.674286
1493856319546	4.0517426	-2.150772	1.8768921
1493856319566	5.235092	-2.456604	0.58070374
1493856319586	9.765427	-1.8236694	2.8740082
1493856319605	14.491379	-1.7407684	4.1797485
1493856319625	12.540924	-2.8686676	4.1730804
1493856319645	6.7408752	-3.6304321	2.1309052
1493856319665	5.3127136	-6.1627655	0.53045654
1493856319685	6.0924225	-8.935623	3.0859528
1493856319705	8.344284	-8.89772	2.934204
1493856319724	7.5789948	-8.238434	2.1763916
1493856319744	6.568207	-6.368332	2.1914368
1493856319764	6.4664764	-4.641693	1.6655884
1493856319784	6.435837	-5.8878326	1.6885529
1493856319804	4.4923553	-10.037018	3.014206
1493856319823	4.925537	-13.104996	4.497162
1493856319843	7.0528107	-11.833435	3.4871979
1493856319863	2.0351105	-9.150436	0.08610535
1493856319883	1.4129333	-7.7445374	-0.53440857
1493856319903	4.889801	-7.817383	1.899765
1493856319923	5.468933	-7.8680115	2.8070374
1493856319943	3.071045	-8.773483	2.4435425
1493856319963	-1.2117615	-10.708298	2.33992
1493856319983	0.44166565	-10.458984	2.0929565
1493856320002	2.5404053	-9.2872925	2.3943787
1493856320022	1.8624878	-8.786652	2.3603973
1493856320042	1.5125427	-8.576935	1.7665405
1493856320062	1.3768616	-8.024399	1.6461487
1493856320082	1.532608	-6.8838043	1.757843
1493856320102	0.12844849	-6.8090515	3.5030212
1493856320122	2.4199371	-2.2776031	1.9176483
1493856320141	3.8141174	0.29232788	0.81993103
1493856320161	0.55303955	-2.4978485	2.6176758
1493856320181	1.4275665	-6.060074	0.28952026
1493856320201	1.3688507	-16.496445	-0.90779114
1493856320221	0.17308044	-19.474823	-5.251129
1493856320241	-1.0554657	-12.882248	-0.27581787
1493856320260	4.093994	-10.683243	-0.20683289
1493856320280	8.07312	-12.402237	-2.3236237
1493856320300	7.822708	-18.366913	-3.2737732
1493856320320	2.8250732	-13.472244	-2.1875916
1493856320340	0.028305054	-11.031601	-3.6351166
1493856320360	1.4428864	-10.10376	-4.168213
1493856320380	2.087799	-9.010422	-3.6549072
1493856320399	2.7048798	-8.953583	-4.0572968
1493856320419	2.6826324	-9.542282	-3.6355133
1493856320439	3.3433075	-10.037796	-1.6537781
1493856320459	2.5561218	-10.106018	-0.6977844
1493856320479	2.2980652	-10.42392	0.80422974
1493856320499	2.9606476	-9.77948	1.1643066
1493856320519	6.128235	-9.355545	0.6515045
1493856320559	6.2661133	-9.399155	-0.8154144
1493856320578	5.085022	-9.557419	-1.4912567
1493856320598	2.7005157	-10.400391	-1.1704559
1493856320618	2.1057587	-10.326462	0.13623047
1493856320638	2.2348175	-10.533813	0.6463928
1493856320658	2.817749	-10.14061	0.72613525
1493856320677	1.6157379	-10.405884	-2.3546906
1493856320697	0.65478516	-10.085342	0.076812744
1493856320717	0.45916748	-9.31517	-0.3094635
1493856320737	-0.4445343	-8.759781	-0.76213074
1493856320757	-0.5458069	-8.728821	-1.1096344
1493856320778	-0.2548828	-8.370819	-1.1674347
1493856320797	-0.27142334	-8.110855	-1.2224731
1493856320817	-0.12936401	-7.489868	-1.643753
1493856320836	0.71725464	-7.089615	-1.8825989
1493856320856	1.3372955	-7.025955	-2.5416107
1493856320876	1.5867462	-7.2632294	-3.3154907
1493856320896	1.4464264	-8.056213	-4.3389893
1493856320916	1.4885559	-8.644638	-5.788971
1493856320936	1.6971893	-9.285614	-6.997864
1493856320956	1.16539	-10.284836	-7.2083893
1493856320976	0.8636627	-10.727585	-7.470566
1493856320996	1.0896149	-9.644913	-7.47641
1493856321015	1.2776794	-7.3753204	-6.8847504
1493856321035	0.524765	-6.550583	-6.8671265
1493856321055	-0.42817688	-10.956238	-7.7507324
1493856321075	0.11584473	-17.445007	-6.2855225
1493856321095	1.1053772	-15.75621	-1.7869568
1493856321115	-0.03565979	-8.6289215	1.477768
1493856321134	-1.4414825	-5.2602234	3.873413
1493856321154	-0.47129822	-6.278015	5.4691315
1493856321174	1.8195801	-9.012695	6.514618
1493856321194	2.9277802	-11.124451	2.8725586
1493856321214	2.9621735	-11.813904	-0.9805603
1493856321234	2.3231964	-11.202591	-0.36691284
1493856321253	1.4615326	-10.0954895	0.6672516
1493856321273	1.0218353	-9.031067	0.50460815
1493856321293	1.5068359	-8.233017	0.26341248
1493856321313	2.2836914	-8.610153	0.6950226
1493856321333	3.272812	-9.711838	1.0440979
1493856321353	4.2712555	-9.97905	0.064086914
1493856321373	3.7789764	-9.495346	-1.172348
1493856321392	2.9579163	-8.781006	-1.3530273
1493856321412	2.28096	-8.252457	-0.40151978
1493856321432	1.8537598	-8.092438	0.83470154
