accelerometer_timestamp	accelerometer_x_data	accelerometer_y_data	accelerometer_z_data
1493858775918	-4.191101	4.6670837	6.723755
1493858775918	-3.7848663	5.0812683	4.9514313
1493858775922	-2.9167633	5.8857574	5.2892
1493858775923	-1.8703308	6.435623	6.400177
1493858775942	-1.8159485	5.957184	7.18277
1493858775962	-2.10289	5.095398	6.8533173
1493858775982	-2.9536896	5.3204193	6.6914825
1493858776002	-3.1343231	5.6158295	6.1931763
1493858776021	-3.3880768	1.8654785	5.0415344
1493858776041	-4.352463	3.8029327	8.904877
1493858776060	-3.6331024	3.1229248	6.9760437
1493858776080	-1.9700775	1.2945557	7.655121
1493858776120	-1.2842865	-0.9869232	9.116913
1493858776139	-0.45825195	1.0116882	12.674484
1493858776159	0.10014343	2.734253	17.623093
1493858776179	-0.036697388	1.7405396	17.015198
1493858776199	0.24240112	-0.1481781	13.001755
1493858776219	-3.0220184	-0.42155457	5.9240417
1493858776239	-4.7110443	3.372055	7.523819
1493858776259	1.7603302	3.3069	11.394852
1493858776278	0.572525	1.2479706	9.703751
1493858776298	0.6014557	3.2884674	6.5125275
1493858776319	-0.16184998	0.5064392	8.411392
1493858776338	2.2158508	-0.08125305	11.445435
1493858776358	3.6893768	0.7889404	9.831192
1493858776378	3.6672363	2.0756989	9.451538
1493858776397	4.2939606	3.8748322	8.0168915
1493858776417	1.1812134	2.2237396	5.3174133
1493858776437	-5.3866577	-0.13868713	5.5280457
1493858776457	-3.007141	-0.40220642	9.503601
1493858776476	2.1323547	2.8458557	14.262283
1493858776496	1.3322906	2.6644135	13.095047
1493858776516	-1.6065369	1.7077789	10.438156
1493858776536	-1.6153107	2.0292206	10.427078
1493858776556	-1.2113647	2.2050476	11.246017
1493858776576	-0.56466675	2.465332	11.701691
1493858776595	0.26197815	2.9990845	10.687332
1493858776615	0.1820221	2.8909912	10.253632
1493858776635	0.2529297	2.7421112	10.923294
1493858776655	0.8177948	2.7331238	10.420029
1493858776675	1.1382294	2.8010864	9.508545
1493858776695	1.3690186	2.3445282	9.64183
1493858776714	0.8263855	1.8795013	11.482239
1493858776734	0.58680725	2.4588623	12.544571
1493858776754	1.5670929	2.4747162	11.82103
1493858776774	1.2820282	1.8321991	10.755798
1493858776793	0.4816742	2.111374	8.768341
1493858776813	0.6830292	2.5925293	6.6531525
1493858776833	1.4944458	3.2347107	8.696594
1493858776853	1.768219	3.4184113	9.888657
1493858776873	1.652008	2.783142	8.189346
1493858776892	1.6051483	1.5328369	8.220352
1493858776914	0.6450043	2.5205688	8.446091
1493858776932	1.6609344	4.6820984	9.000565
1493858776952	0.8768616	3.3067932	8.53746
1493858776972	-0.4837036	2.3698273	7.5964203
1493858776991	-0.5868988	2.1570892	8.996796
1493858777011	1.5139313	2.6338348	11.574692
1493858777031	0.9569397	3.410553	8.391937
1493858777051	-0.016326904	3.5353851	7.6907806
1493858777070	-0.04837036	2.740448	9.121246
1493858777090	0.23626709	3.4427185	9.750198
1493858777110	1.1011658	4.2842712	9.531052
1493858777130	1.078476	3.8538055	8.061295
1493858777150	1.539032	3.7831879	5.6254272
1493858777170	2.4944	3.3274536	3.8375854
1493858777203	2.4088745	0.9868469	5.1049347
1493858777240	2.585785	-1.4856415	7.848343
1493858777240	1.8495026	-3.3528595	8.592407
1493858777251	3.0219421	-5.0795593	5.1790924
1493858777270	4.7586517	-3.6452026	2.2983246
1493858777289	8.554169	0.16958618	0.49746704
1493858777328	5.310791	-3.1070557	-2.0637512
1493858777348	3.0949097	-7.6856995	-0.560379
1493858777368	4.5045166	-8.289124	1.2836761
1493858777387	7.8006744	-7.3604584	0.3974762
1493858777407	9.531799	-9.4869995	-0.05999756
1493858777427	11.123566	-9.765472	1.652359
1493858777447	12.330292	-10.947006	0.96203613
1493858777467	12.588196	-12.344925	3.1735535
1493858777486	14.631058	-12.408859	4.5323334
1493858777507	19.461044	-10.799667	5.1785736
1493858777526	19.461044	-6.927017	2.8321075
1493858777547	19.461044	-2.4336243	1.512619
1493858777566	19.461044	-0.59765625	1.7298279
1493858777586	19.025864	-0.41908264	-0.6034241
1493858777606	16.530273	-1.1022491	-2.434906
1493858777625	11.563065	-2.6288605	-5.827057
1493858777645	4.907547	-5.932602	-8.854538
1493858777665	1.8044739	-6.9248657	-4.6513977
1493858777685	3.6938171	-5.3175354	-3.8668213
1493858777705	7.4214783	-3.5727234	-5.181122
1493858777727	10.476532	-3.759552	-3.247818
1493858777744	13.198166	-6.3169556	0.9307709
1493858777764	9.560684	-12.379364	4.664749
1493858777784	2.5337372	-15.957443	7.014618
1493858777803	4.723633	-10.244568	1.0611877
1493858777823	6.5843353	-7.032913	-1.2433167
1493858777843	6.4465637	-5.1493835	-1.2968903
1493858777863	7.1580353	-3.262558	-0.19416809
1493858777883	7.72348	-3.8566742	1.6371155
1493858777904	9.313705	-5.858856	2.8260803
1493858777922	12.123459	-6.912323	1.3135529
1493858777942	11.925842	-7.5395355	-0.42596436
1493858777962	9.82872	-6.762375	0.19702148
1493858777982	10.9534	-5.012451	1.7077942
1493858778002	11.95018	-2.853897	0.73609924
1493858778022	6.133606	-5.1259003	0.5702362
1493858778041	2.1206512	-5.043045	1.7259064
1493858778065	5.8440704	-4.321747	2.1586914
1493858778081	6.053665	-3.069687	1.0371094
1493858778101	6.4898987	-1.9887085	0.82164
1493858778122	4.913025	-1.1489105	0.7109375
1493858778141	1.0771179	-1.4397125	0.3159485
1493858778160	2.3725739	-2.9844208	1.5032196
1493858778180	5.6140747	-2.8796387	0.5966034
1493858778200	11.799637	-3.3550262	0.9705963
1493858778219	14.897415	-1.9084167	1.1456604
1493858778239	12.03511	-5.4252014	-0.5917511
1493858778259	9.547882	-10.915482	-0.514801
1493858778279	10.890381	-13.120804	0.7909241
1493858778299	11.764282	-11.576523	0.12257385
1493858778318	9.036987	-9.836456	-0.9235687
1493858778338	10.1458435	-4.7209167	-0.53022766
1493858778358	7.351761	-0.42134094	1.3256683
1493858778378	8.152847	-4.569107	0.691864
1493858778398	7.1815186	-7.7730103	0.04953003
1493858778418	6.1461334	-10.220596	1.4161682
1493858778437	7.07605	-10.65712	0.19551086
1493858778457	6.96167	-9.11792	1.5618439
1493858778477	8.324448	-5.605957	0.35040283
1493858778497	7.8066406	-5.514023	-0.4657135
1493858778536	8.787933	-5.406555	0.40013123
1493858778556	9.286819	-6.9138794	2.583786
1493858778576	9.200577	-6.993973	2.827591
1493858778596	8.153809	-7.024811	-4.106903
1493858778616	7.9210205	-8.175156	1.1478882
1493858778635	7.432724	-5.880081	-0.018173218
1493858778655	3.1931458	-4.1800995	-1.002182
1493858778675	1.9576416	-6.183563	2.1918335
1493858778695	7.725601	-2.5844421	0.661911
1493858778715	8.268204	-3.2248535	0.8478546
1493858778735	2.014801	-5.2554474	-1.0297089
1493858778754	-4.46521	-7.6410217	-3.9833832
1493858778774	-2.5481567	-6.0358887	0.78152466
1493858778794	1.6011963	-7.45636	-0.067977905
1493858778814	2.1024017	-10.9179535	0.32287598
1493858778834	5.1345367	-9.577911	-2.252533
1493858778853	3.352188	-12.683517	2.4264984
1493858778873	4.702408	-16.000183	3.8776855
1493858778893	13.2157135	-9.772705	0.73805237
1493858778913	-1.6723022	-13.715683	2.8838196
1493858778933	-4.1957397	-11.318893	-0.16021729
1493858778952	-3.2929688	-7.7006226	-0.50035095
1493858778972	-1.3588104	-5.4813385	3.4003296
1493858778992	-3.3178558	-6.612488	2.232544
1493858779012	-3.004898	-4.653244	2.2884064
1493858779032	-2.5038452	-4.267151	2.1935272
1493858779052	-3.6765747	-5.5466614	0.82580566
1493858779072	-3.2838135	-6.3836365	-0.06188965
1493858779091	-1.16893	-8.369598	-2.6473694
1493858779112	0.72702026	-11.161865	-6.2500305
1493858779132	2.3287964	-13.738586	-11.201584
1493858779653	6.049698	-14.253357	-10.914658
1493858779653	7.6343536	-12.0295105	-3.965149
1493858779653	5.6897736	-9.970322	-1.6057587
1493858779653	3.6620789	-8.714142	-2.7012177
1493858779653	2.7417603	-7.0930634	-3.0016174
1493858779653	1.9153595	-8.532715	-0.9674988
1493858779653	0.0990448	-14.326736	0.6558838
1493858779653	-0.7384186	-16.860321	0.52986145
1493858779653	-4.2210083	-12.348282	-2.9990234
1493858779653	-8.938889	-5.159561	0.54582214
1493858779653	-8.38443	-2.6310272	9.026093
1493858779654	-2.651413	-7.62883	6.9581757
1493858779654	0.903595	-12.745651	2.1129303
1493858779654	4.5922394	-14.322006	0.77908325
1493858779654	6.6606293	-12.740723	2.3720093
1493858779654	4.2208405	-10.024475	2.4467163
1493858779654	0.549881	-9.099686	1.7866211
1493858779654	-1.9923096	-9.26181	1.5458527
1493858779654	-2.8236084	-9.378403	1.7692566
1493858779654	-2.1774292	-9.979172	1.2808533
1493858779654	-1.3833923	-10.310562	-0.14157104
1493858779654	-0.63253784	-9.603821	-0.65834045
1493858779654	0.43029785	-8.598236	0.4876709
1493858779654	1.3041687	-7.7706604	1.3795319
1493858779654	1.34021	-8.139877	2.3865204
1493858779654	0.94880676	-9.168472	2.8902588
1493858779667	1.2340698	-9.929474	2.3920593
1493858779687	1.5686646	-10.103241	0.3032837
1493858779706	2.203415	-10.064819	-2.375946
1493858779726	2.6172485	-10.334061	-2.540039
1493858779746	1.6615906	-10.804291	-0.15585327
1493858779786	-0.31706238	-11.38678	0.52893066
1493858779805	0.24902344	-11.689026	-1.0197906
1493858779825	3.1853027	-11.673996	-0.49134827
