accelerometer_timestamp	accelerometer_x_data	accelerometer_y_data	accelerometer_z_data
1493695214565	-0.9336853	3.1774445	9.380661
1493695214565	-0.3644867	3.190277	8.754501
1493695214569	-0.5058136	3.17807	8.797333
1493695214589	-0.647583	3.1833954	8.975784
1493695214609	-0.6620178	3.2222137	9.329651
1493695214628	-0.78700256	3.1587524	9.316727
1493695214648	-0.65737915	3.141632	9.389481
1493695214668	-0.79293823	3.1242065	9.01445
1493695214688	-1.0094299	2.858673	8.674713
1493695214708	-0.33970642	2.8216553	9.42955
1493695214727	-1.1609955	3.1428986	9.460342
1493695214747	-1.0948792	2.977188	9.422073
1493695214767	-1.1299591	2.9736176	9.170227
1493695214786	-0.81666565	3.188324	9.120941
1493695214806	-0.46955872	3.2705536	9.287857
1493695214826	-0.49124146	3.1162567	8.972473
1493695214846	-0.40148926	3.0262604	8.5742035
1493695214865	-0.31765747	3.0732727	8.639572
1493695214885	-0.28353882	3.078003	9.204468
1493695214905	-0.3543396	2.9827423	9.329971
1493695214925	-1.4120178	2.6701508	9.943344
1493695214945	-0.11274719	2.5287018	9.223007
1493695214965	0.7485504	2.34729	9.015915
1493695214984	0.2849884	2.1860962	10.81987
1493695215004	1.1172638	2.4106903	12.369934
1493695215024	0.942276	2.0465546	10.11438
1493695215043	0.3131256	1.681427	5.976944
1493695215063	-1.3117676	2.091339	4.8477936
1493695215083	-2.9313965	2.383789	6.891281
1493695215103	-4.5098267	1.7314911	9.912689
1493695215123	-3.4551086	2.3298645	11.48938
1493695215143	-1.4976807	2.33609	11.437302
1493695215162	-2.0846558	1.9884033	13.131943
1493695215182	-2.3882904	2.9031677	13.172974
1493695215202	-2.0299988	2.6482086	10.198975
1493695215221	-1.0881348	2.5544586	7.713928
1493695215242	-1.6346893	2.7243347	7.7811127
1493695215261	-2.6988525	2.6458588	7.486664
1493695215281	-3.9142456	3.0786438	7.1899414
1493695215301	-1.9551239	3.238678	8.232315
1493695215320	-2.0328827	2.6743317	7.624405
1493695215340	-1.7317963	2.3747864	10.275162
1493695215360	-1.2309418	2.0687103	11.682587
1493695215380	-1.3469696	1.969284	10.775635
1493695215399	-2.0675507	2.3388824	10.606689
1493695215420	-2.5228271	2.174469	9.394562
1493695215459	-2.0302582	2.3104095	9.282791
1493695215479	-1.9685516	2.7012787	9.054794
1493695215499	-2.6141357	2.4298553	9.099365
1493695215518	-2.5115967	2.1814575	8.858612
1493695215538	-1.69664	2.4132538	10.01181
1493695215558	-2.0395813	2.5405273	10.31517
1493695215578	-2.3656769	2.8817444	8.788284
1493695215597	-1.896225	2.9137573	7.531891
1493695215617	-1.6503906	2.6523895	8.584473
1493695215637	-2.9336853	2.896286	9.279861
1493695215657	-2.9605865	3.1654053	8.528946
1493695215677	-2.2663116	2.657425	7.6844788
1493695215696	-2.140213	2.2353516	8.457581
1493695215716	-2.7228546	2.426529	8.905121
1493695215736	-3.2734985	2.766632	8.752579
1493695215756	-2.392395	3.084137	8.787567
1493695215775	-0.5144043	3.9690857	9.997803
1493695215795	-2.2027283	2.401245	11.283569
1493695215815	-3.3190918	1.565628	12.592743
1493695215835	-3.261963	2.2803955	11.258926
1493695215855	-2.5547943	3.1274414	8.743713
1493695215874	-1.9862823	3.1941223	7.535263
1493695215894	-2.3790283	3.1157227	7.244629
1493695215914	-3.1633453	2.86232	7.3548737
1493695215934	-3.4119415	2.564865	7.673477
1493695215953	-3.0132294	2.8331757	8.376007
1493695215973	-2.9467468	3.114502	8.944366
1493695215993	-3.6493835	2.880844	9.091003
1493695216013	-3.2251282	2.6784058	9.555283
1493695216033	-2.2825317	2.5361938	9.817291
1493695216052	-2.0749512	3.3168182	9.589081
1493695216072	-3.1278534	3.3313446	8.989212
1493695216092	-4.842865	2.2476807	7.4289856
1493695216112	-3.994751	2.219101	7.2465057
1493695216131	-1.9616394	2.9167786	9.725189
1493695216151	-2.31073	2.940277	9.9652405
1493695216171	-2.638214	3.2381592	10.19519
1493695216191	-3.8785248	3.7289886	11.023254
1493695216211	-4.693207	3.4880219	8.6453705
1493695216230	-3.71727	2.34964	6.4911194
1493695216252	-4.0189514	3.0148163	6.878937
1493695216280	-4.137741	2.3783112	8.018539
1493695216290	-4.097107	1.508667	7.9696198
1493695216310	-4.5369263	2.2562256	8.511398
1493695216329	-5.0609894	2.552948	8.129517
1493695216349	-6.0147705	2.0990906	8.252197
1493695216369	-6.3788757	1.7814941	9.074738
1493695216389	-5.182068	2.1135864	9.024628
1493695216409	-3.7496796	2.657135	8.726395
1493695216428	-4.327408	2.8178406	9.46283
1493695216448	-5.2756653	2.3104706	9.631607
1493695216468	-5.7401123	1.3270416	6.868622
1493695216488	-7.7791443	0.37391663	4.865082
1493695216508	-9.431702	0.21759033	0.97436523
1493695216528	-7.707947	1.0629578	8.2348175
1493695216547	-6.3994293	1.1932526	7.076462
1493695216587	-4.8632355	3.0065765	8.180679
1493695216606	-4.1332245	1.7498016	6.215576
1493695216626	-5.667221	1.3288879	8.248062
1493695216646	-5.991165	3.0885468	9.709793
1493695216666	-6.0343323	2.5384521	9.797989
1493695216686	-5.3382874	0.7724457	9.606949
1493695216705	-4.1101074	2.3758545	8.0972595
1493695216725	-4.859848	1.0439606	5.0795135
1493695216745	-8.220474	1.0026703	0.9809265
1493695216765	-11.092728	1.3645325	0.4193573
1493695216785	-9.208054	1.8334808	0.75567627
1493695216804	-5.820236	3.3860474	3.2796783
1493695216824	-5.9763184	3.097168	5.8923492
1493695216844	-6.955307	2.5373535	4.523468
1493695216864	-8.901428	1.6190796	3.0954132
1493695216883	-8.330948	0.7875061	2.4133148
1493695216903	-7.119034	1.6838837	1.6377563
1493695216923	-7.020752	2.6434326	-1.187561
1493695216943	-8.793854	1.3540802	-2.3688202
1493695216962	-10.578766	0.32125854	-1.5621033
1493695216982	-10.418274	0.18603516	-0.22865295
1493695217002	-9.364075	1.1058502	-0.9539032
1493695217022	-9.08783	1.2990112	-3.2087402
1493695217044	-8.654022	-0.5982208	-2.753006
1493695217061	-6.7980347	-1.7538605	-0.49253845
1493695217082	-8.248413	-1.5444031	-2.7593536
1493695217101	-11.093918	-2.105362	-6.1193085
1493695217121	-13.849426	-1.2479858	-1.5429077
1493695217142	-13.422928	-1.2606354	0.08293152
1493695217162	-11.078964	-2.0404205	-2.541275
1493695217180	-13.787598	-0.93122864	-5.8249664
1493695217200	-12.864944	0.03768921	-5.663849
1493695217220	-9.151581	0.40551758	-1.7372894
1493695217239	-8.76442	-0.23208618	0.7991028
1493695217259	-11.208023	0.45866394	0.83683777
1493695217279	-12.265732	-0.12527466	-0.5662079
1493695217299	-12.683334	-0.0013275146	-3.0573578
1493695217318	-9.602844	0.20043945	0.0846405
1493695217338	-8.522415	0.16209412	1.0675507
1493695217358	-8.718536	0.050094604	0.68200684
1493695217378	-9.2439575	-1.2992249	-0.10670471
1493695217398	-10.317322	-3.0504913	-0.1973114
1493695217417	-10.298859	-4.8294983	-0.013259888
1493695217437	-9.666763	-6.0271454	-0.577301
1493695217457	-10.347626	-6.0929413	-2.0828094
1493695217477	-10.913391	-5.9900208	-2.1481323
1493695217496	-10.786774	-4.529785	-1.263443
1493695217516	-10.515472	-3.1188354	-2.440384
1493695217536	-8.251434	2.2556915	-2.2115326
1493695217556	-7.5886383	4.505493	-0.96928406
1493695217576	-8.023514	3.0672607	1.1593475
1493695217596	-8.073898	1.1473236	0.8365021
1493695217615	-11.219223	-3.4476166	0.49598694
1493695217636	-12.314575	0.12322998	-0.14886475
1493695217655	-11.948029	-1.8557892	1.6457977
1493695217694	-12.866531	-2.8368225	2.5305786
1493695217714	-12.184555	-2.9225922	2.4057465
1493695217734	-13.096954	-1.5495148	0.9656067
1493695217755	-11.809433	-1.9132843	-0.059631348
1493695217774	-11.65654	-2.1295166	0.20675659
1493695217794	-12.179367	0.84936523	-0.77549744
1493695217814	-10.882584	1.9991913	1.6467285
1493695217833	-10.046265	3.4854736	1.1776886
1493695217853	-9.741623	2.709793	-0.9725647
1493695217873	-10.351807	1.3667908	-1.8881073
1493695217893	-10.858246	0.0067749023	-0.19075012
1493695217912	-9.769302	-0.38693237	0.16914368
1493695217932	-9.339279	-0.31446838	0.33384705
1493695217952	-9.101364	-1.0298462	0.39860535
1493695306336	-8.69191	-1.2713013	-0.23570251
1493695306337	-8.674606	-1.5743408	-1.3638916
1493695306337	-8.708649	-1.4750671	-0.29197693
1493695306337	-7.2659454	-0.8939209	-0.51763916
1493695306337	-7.237854	-1.3605042	-3.1563568
1493695306337	-7.8891907	-1.6178436	-1.8570251
1493695306337	-7.1659393	-1.5795288	-1.0789185
1493695306337	-6.8480377	-1.5217438	-0.41600037
1493695306337	-6.621109	-0.9701996	2.0199585
1493695306337	-7.2251587	-0.038650513	2.8731995
1493695306337	-7.9201965	0.5383606	-0.24267578
1493695306337	-7.537628	0.8904724	-0.7550354
1493695306337	-8.208557	1.2509766	-1.0204315
1493695306337	-9.934845	0.2936859	-0.86557007
1493695306337	-14.769882	-3.7358704	1.4121704
1493695306337	-17.404358	-4.5249023	0.60894775
1493695306337	-13.399475	-1.5383148	-2.5349426
1493695306337	-11.023407	0.25611877	-2.9848175
1493695306337	-10.367065	0.4922638	-1.4914856
1493695306337	-10.200256	-1.637146	1.2455444
1493695306337	-9.931473	-3.346634	1.5757446
1493695306337	-10.0448	-4.517624	0.11613464
1493695306337	-10.226105	-3.4459534	-0.5542145
1493695306337	-5.210327	-1.2181396	-2.4591522
1493695306337	-5.5691986	-0.13824463	-0.40753174
1493695306337	-5.350479	-0.11125183	0.5217438
1493695306337	-5.232956	-2.9754333	-0.04170227
1493695306337	-5.413208	-3.7123108	-1.8701935
1493695306337	-7.401474	-4.2265625	-1.9004669
1493695306337	-9.189453	-5.6973724	0.5797119
1493695306337	-12.928528	-6.0255585	1.4415588
1493695306338	-10.280945	-3.6503143	0.31340027
1493695306338	-13.156555	-1.8876343	-0.27001953
1493695306338	-9.606232	-2.5404663	0.008483887
1493695306338	-11.455841	0.5052185	-0.006576538
1493695306338	-10.682419	1.3982391	-0.5705414
1493695306338	-7.088333	4.4207153	-0.11857605
1493695306338	-9.525772	6.6548767	-1.3139648
1493695306338	-11.699249	5.180298	-2.055893
1493695306338	-13.947983	2.2502747	-1.0614319
