accelerometer_timestamp	accelerometer_x_data	accelerometer_y_data	accelerometer_z_data
1493856584074	-1.0849915	5.3416443	7.1445007
1493856584092	-0.9832001	4.8532104	6.6817474
1493856584112	0.36079407	4.8314514	6.2731476
1493856584132	2.2299347	4.544754	6.3914185
1493856584152	1.3686066	3.3672943	6.750534
1493856584172	1.911972	3.4499512	6.1871185
1493856584191	2.954483	4.155609	5.21402
1493856584211	2.2395935	3.961609	5.727356
1493856584231	0.99554443	3.042862	7.2437897
1493856584251	-0.6037903	1.9441223	7.368881
1493856584271	0.5845642	1.2540894	7.4040985
1493856584291	4.2708282	1.4074554	9.632919
1493856584310	4.097748	1.8468018	7.714691
1493856584330	4.485077	1.6125641	5.941925
1493856584350	4.7923737	-0.3882904	6.0096893
1493856584370	4.7250977	-1.9117126	6.849472
1493856584390	5.4086	-2.2874756	7.1965485
1493856584410	5.8509827	-3.6559906	7.132843
1493856584430	5.235321	-6.068924	6.208145
1493856584450	6.3167725	-6.345642	6.1905365
1493856584470	10.495102	-5.759033	6.8997345
1493856584489	13.559311	-5.0599823	5.599228
1493856584509	14.632645	-2.9951172	4.717697
1493856584529	14.909607	-1.3090973	4.1354065
1493856584549	15.197418	-1.0159149	2.0865936
1493856584569	14.947983	-1.1399078	3.436615
1493856584589	15.753632	0.287735	2.2732391
1493856584608	16.245178	2.1018982	-4.853653
1493856584628	14.212723	2.19635	-6.11026
1493856584648	13.323746	2.0765076	-5.7651367
1493856584668	11.218735	-0.37158203	-5.4552917
1493856584688	9.105255	-2.6468506	-3.6126099
1493856584708	8.513992	-3.5400085	-1.9257202
1493856584728	7.7049713	-5.226837	0.37210083
1493856584748	7.6467285	-6.676712	0.8247833
1493856584767	9.806732	-7.0603943	-1.3033447
1493856584788	9.909363	-7.498169	-2.891037
1493856584807	8.092072	-8.397186	-3.6295776
1493856584827	4.7167664	-7.658615	-0.45845032
1493856584847	6.0585175	-8.531113	-1.152771
1493856584867	5.828171	-8.158142	-0.91293335
1493856584886	3.9496155	-8.064789	-1.3337708
1493856584906	1.4566498	-10.102173	0.892334
1493856584926	2.1671295	-10.568893	1.2048187
1493856584946	2.1309967	-10.733444	-1.7851563
1493856584966	2.6140137	-8.447342	2.2550812
1493856584986	2.093155	-9.362793	0.53982544
1493856585006	1.8082428	-10.745346	1.6003113
