accelerometer_timestamp	accelerometer_x_data	accelerometer_y_data	accelerometer_z_data
1493787064364	-1.6129608	4.3679047	8.950348
1493787064383	-1.634552	4.3352356	8.539215
1493787064404	-1.5748444	4.380081	8.37027
1493787064424	-1.4968109	4.404022	8.533783
1493787064443	-1.4414215	4.4046326	8.55426
1493787064463	-1.3356628	4.443512	8.656982
1493787064483	-1.4297485	4.4052124	8.661423
1493787064502	-1.5813446	4.346817	8.596497
1493787064522	-1.6088562	4.295395	8.58606
1493787064542	-1.606781	4.2678375	8.567978
1493787064562	-1.5818329	4.2896576	8.656403
1493787064582	-1.5351563	4.2793884	8.883179
1493787064602	-1.5122528	4.277527	8.934525
1493787064621	-1.4852295	4.3039246	8.617447
1493787064641	-1.4389191	4.325409	8.425812
1493787064661	-1.4433746	4.2822876	8.508575
1493787064681	-1.4385223	4.275528	8.3927
1493787064701	-1.5195007	4.247223	8.178085
1493787064720	-2.0214539	3.9463348	8.030365
1493787064740	-2.1827087	3.7160797	7.698471
1493787064760	-1.500946	3.8992004	7.6104584
1493787064780	-0.23472595	4.3115234	7.7897186
1493787064800	0.6766968	4.7075653	8.042114
1493787064820	0.58561707	4.5972595	8.068375
1493787064839	0.019363403	4.3289948	7.947693
1493787064859	-0.9703522	3.542328	7.6542664
1493787064879	-0.5187988	3.9371338	7.4878387
1493787064899	0.56492615	3.985794	7.5665894
1493787064919	0.852829	3.8204193	7.9108734
1493787064939	0.9099121	3.4406738	7.796097
1493787064958	1.2839355	3.1909027	6.7540283
1493787064978	1.6032257	2.6414795	5.048401
1493787064998	0.9009094	1.5097046	3.1508484
1493787065018	1.6332703	1.1914063	2.966156
1493787065038	2.92276	0.6897278	3.4886322
1493787065057	4.943527	0.37353516	4.600937
1493787065077	4.770645	-0.11846924	4.428589
1493787065097	4.85054	-0.7268219	3.3384094
1493787065117	6.9140625	-2.3292236	2.3531036
1493787065137	9.340195	-3.9717102	4.4320984
1493787065156	7.9516907	-5.0824585	5.462082
1493787065197	6.980652	-5.4313507	3.923996
1493787065216	8.100464	-5.9009705	4.1777344
1493787065236	8.928238	-5.9864044	4.6299896
1493787065255	10.323074	-5.864441	5.6277924
1493787065275	11.340134	-5.6168976	5.967514
1493787065295	12.23111	-5.8487854	5.6712646
1493787065317	13.020493	-5.6012726	6.35376
1493787065335	14.081314	-5.073532	6.254654
1493787065355	14.590164	-4.6050415	4.8546143
1493787065374	14.869858	-4.3088226	4.10083
1493787065394	15.638641	-3.8814392	3.897644
1493787065415	16.299576	-3.3180237	3.3384857
1493787065434	16.367706	-3.1135406	1.9177094
1493787065454	16.034485	-3.03125	1.2716522
1493787065474	15.253372	-2.9009094	1.015152
1493787065493	13.763519	-3.1183472	0.37638855
1493787065513	12.134888	-3.7537842	0.42518616
1493787065533	11.502457	-4.03537	0.6096802
1493787065553	11.665039	-3.887207	0.574234
1493787065573	11.672546	-3.6988068	0.042541504
1493787065593	11.409317	-3.5849915	-0.85188293
1493787065612	10.7771	-3.9749756	-1.0924988
1493787065632	10.082794	-4.2160187	-1.1304321
1493787065652	9.907379	-3.9063263	-2.152237
1493787065672	8.700363	-3.8940735	-3.7020721
